"","chem_name","fold_change","n_dmgs","n_degs","n_dems","multiomics_score","feature_cluster","selection_tier"
"9","l-Tryptophan",9.97,4,0,23,0.2552,7,"3"
"11","N-Dodecanoyl-N-",9.97,13,0,40,0.4674,6,"2"
"12","N-Dodecanoyl-N-",9.97,11,0,39,0.4492,6,"2"
"13","24-Bis(1-methyl",9.97,15,0,44,0.5169,6,"3"
"14","Adenosine",2.38,62,0,20,0.4505,5,"1"
"15","Hexaminolevulin",4,69,0,20,0.4779,5,"2"
"17","Icaridin",4.61,63,0,16,0.4128,5,"2"
"20","Icaridin",4.69,38,0,13,0.2839,5,"2"
"26","PEG (polyethyle",2.59,30,0,50,0.638,3,"2"
"28","C17H31N5O6",4.45,9,0,56,0.6185,3,"2"
"47","C17H35NO2",2.67,4,0,5,0.0677,8,"3"
"67","C5H7N2OP",3.53,27,0,1,0.1159,7,"4"
"78","C14H29NO2",9.97,21,0,38,0.4779,6,"3"
"81","C12H21NO2",9.97,24,0,50,0.6146,6,"4"
"82","C12H25NO3",9.97,15,0,41,0.4857,6,"4"
"83","C13H25NO3",9.97,29,0,49,0.6237,6,"4"
"84","C15H32N2O3",9.97,9,0,25,0.2956,6,"4"
"86","C17H34N2O4",9.97,11,0,38,0.4388,6,"4"
"87","C17H25N5O2",3.65,2,0,28,0.2995,6,"4"
"93","Gabapentin",3.1,69,0,25,0.5299,5,"2"
"94","NN-Bis(2-hydrox",2.37,49,0,23,0.431,5,"2"
"97","C11H21NO2S",2.19,42,0,17,0.3411,5,"3"
"98","C13H25NO3",4.85,47,0,37,0.569,5,"3"
"99","C11H23NO3Si",3.52,35,0,23,0.3763,5,"3"
"100","C22H41NO",3.87,22,0,8,0.1693,5,"3"
"102","C13H25NO3",5.34,7,0,13,0.1628,5,"3"
"104","C13H23NO3",6.94,55,0,25,0.4753,5,"3"
"107","C11H21NO2",2.54,124,0,26,0.7552,5,"4"
"109","C13H25NO2S",2.14,57,0,30,0.5352,5,"4"
"110","C12H21NO4S",9.97,15,0,20,0.2669,5,"4"
"114","C24H41NO2",4.02,28,0,11,0.224,5,"4"
"116","C31H40N2O5",9.97,25,0,44,0.556,5,"4"
"117","C31H30O5",3.18,84,0,34,0.6823,5,"4"
"124","C10H23NO7",2.61,45,0,59,0.7904,3,"3"
"125","C15H27N5O5",3.05,15,0,64,0.7253,3,"3"
"126","C17H33N5O5",4.41,16,0,53,0.6146,3,"3"
"127","C23H37N5OS",4.53,7,0,34,0.3815,3,"3"
"129","C32H44F3N3O3S",9.97,15,0,58,0.6628,3,"3"
"135","C18H38O10",2.28,15,0,51,0.5898,3,"4"
"143","Undecylenamide ",9.97,25,0,11,0.2122,2,"2"
"144","4-Oxazolemethan",9.97,14,0,12,0.1797,2,"2"
"145","Pentanoic acid ",9.97,41,0,18,0.3477,2,"2"
"147","C22H41NO",7.49,14,0,10,0.1589,2,"3"
"148","C8H17NO2",9.97,18,0,15,0.2266,2,"3"
"149","C10H21NO2",9.97,36,0,16,0.3073,2,"3"
"150","C12H21NO3",9.97,44,0,26,0.4427,2,"3"
"152","C16H31NO3",9.97,44,0,21,0.3906,2,"3"
"153","C22H41NO2",3.88,23,0,13,0.2253,2,"3"
"156","Linoleic dietha",9.97,42,0,19,0.362,2,"3"
"157","Linoleic dietha",9.97,22,0,15,0.2422,2,"3"
"158","C22H43NO3",9.97,19,0,15,0.2305,2,"3"
"159","C22H43NO3",9.97,22,0,12,0.2109,2,"3"
"162","C10H19NO3",9.97,35,0,10,0.2409,2,"3"
"172","C24H39NO2",9.97,14,0,13,0.1901,2,"4"
"177","C24H50N2O2",9.97,15,0,15,0.2148,2,"4"
"180","C28H54N2O2",9.97,25,0,13,0.2331,2,"4"
"183","C12H14N2O4",9.97,21,0,16,0.2487,1,"4"
